序号 (Index),英文单词 (Word),中文翻译 (Translation),词汇全称 (Formatted),出现频次 (Frequency),平均游客星级 (Star Rating),固有 VADER 得分 (-4.0 to +4.0),Plutchik 情绪分类 (Category)
314,advised,情绪与感知词汇,advised (情绪与感知词汇),61,4.59,0.0,TRUST
315,guarantee,情绪与感知词汇,guarantee (情绪与感知词汇),43,4.767,1.0,TRUST
316,maintenance,故障维保/机械维修的,maintenance (故障维保/机械维修的),33,3.939,0.0,TRUST
317,falling,情绪与感知词汇,falling (情绪与感知词汇),15,4.8,-0.6,SADNESS
318,beware,当心/谨防陷阱的,beware (当心/谨防陷阱的),20,2.95,0.0,ANTICIPATION
319,communicate,情绪与感知词汇,communicate (情绪与感知词汇),88,4.693,0.0,TRUST
320,horrible,极差的/糟糕透顶的,horrible (极差的/糟糕透顶的),29,2.31,-2.5,DISGUST
321,understanding,情绪与感知词汇,understanding (情绪与感知词汇),70,4.714,0.0,TRUST
322,policy,情绪与感知词汇,policy (情绪与感知词汇),36,4.306,0.0,TRUST
323,serene,情绪与感知词汇,serene (情绪与感知词汇),32,4.938,2.0,TRUST
324,lines,情绪与感知词汇,lines (情绪与感知词汇),49,4.816,0.0,FEAR
325,sunshine,情绪与感知词汇,sunshine (情绪与感知词汇),65,4.815,2.2,JOY
326,pay,情绪与感知词汇,pay (情绪与感知词汇),200,4.535,-0.4,JOY
327,noisy,情绪与感知词汇,noisy (情绪与感知词汇),54,4.907,-0.7,ANGER
328,seasoned,情绪与感知词汇,seasoned (情绪与感知词汇),40,5.0,0.0,CATE
329,majesty,情绪与感知词汇,majesty (情绪与感知词汇),110,4.991,0.0,TRUST
330,star,情绪与感知词汇,star (情绪与感知词汇),165,4.788,0.0,JOY
331,show,情绪与感知词汇,show (情绪与感知词汇),250,4.664,0.0,TRUST
332,evident,情绪与感知词汇,evident (情绪与感知词汇),22,4.909,0.0,TRUST
333,inexpensive,情绪与感知词汇,inexpensive (情绪与感知词汇),26,4.846,0.0,CATE
334,charm,情绪与感知词汇,charm (情绪与感知词汇),19,4.895,1.7,CATE
335,respect,情绪与感知词汇,respect (情绪与感知词汇),26,4.808,2.1,JOY
336,essential,情绪与感知词汇,essential (情绪与感知词汇),16,4.875,0.0,CATE
337,delighted,情绪与感知词汇,delighted (情绪与感知词汇),30,5.0,2.3,JOY
338,laughing,情绪与感知词汇,laughing (情绪与感知词汇),24,5.0,2.2,JOY
339,problem,情绪与感知词汇,problem (情绪与感知词汇),204,4.51,-1.7,SADNESS
340,wear,情绪与感知词汇,wear (情绪与感知词汇),147,4.844,0.0,TRUST
341,careful,谨慎平稳驾驶的,careful (谨慎平稳驾驶的),46,4.587,0.6,CATE
342,qualified,情绪与感知词汇,qualified (情绪与感知词汇),20,5.0,0.0,TRUST
343,grandeur,雄伟壮丽的地貌,grandeur (雄伟壮丽的地貌),72,4.903,2.4,CATE
344,harbor,情绪与感知词汇,harbor (情绪与感知词汇),158,4.949,0.0,TRUST
345,suitable,情绪与感知词汇,suitable (情绪与感知词汇),19,4.526,0.0,CATE
346,daily,情绪与感知词汇,daily (情绪与感知词汇),17,4.706,0.0,ANTICIPATION
347,waste,浪费钱财/白费的,waste (浪费钱财/白费的),52,3.135,-1.8,DISGUST
348,save,情绪与感知词汇,save (情绪与感知词汇),122,4.369,2.2,JOY
349,afford,负担得起的/物有所值,afford (负担得起的/物有所值),76,4.908,0.0,CATE
350,competition,情绪与感知词汇,competition (情绪与感知词汇),17,4.529,0.0,ANTICIPATION
351,leading,情绪与感知词汇,leading (情绪与感知词汇),25,4.92,0.0,TRUST
352,seals,情绪与感知词汇,seals (情绪与感知词汇),17,4.706,0.0,TRUST
353,engaging,情绪与感知词汇,engaging (情绪与感知词汇),145,4.924,1.4,JOY
354,fuss,情绪与感知词汇,fuss (情绪与感知词汇),15,4.467,0.0,SADNESS
355,anxiety,情绪与感知词汇,anxiety (情绪与感知词汇),34,4.971,-0.7,SADNESS
356,impeccable,无可挑剔的,impeccable (无可挑剔的),27,5.0,0.0,TRUST
357,obvious,情绪与感知词汇,obvious (情绪与感知词汇),59,4.627,0.0,TRUST
358,cheap,实惠划算的/价格亲民的,cheap (实惠划算的/价格亲民的),134,4.873,0.0,CATE
359,sensational,轰动出色的,sensational (轰动出色的),20,5.0,0.0,JOY
360,courtesy,情绪与感知词汇,courtesy (情绪与感知词汇),21,4.476,1.5,CATE
361,smile,情绪与感知词汇,smile (情绪与感知词汇),62,4.935,1.5,JOY
362,terminal,情绪与感知词汇,terminal (情绪与感知词汇),127,4.551,0.0,SADNESS
363,fight,情绪与感知词汇,fight (情绪与感知词汇),67,4.866,-1.6,FEAR
364,punctual,准时守时的,punctual (准时守时的),17,5.0,0.0,TRUST
365,comfort,情绪与感知词汇,comfort (情绪与感知词汇),120,4.875,1.5,JOY
366,prefer,情绪与感知词汇,prefer (情绪与感知词汇),27,4.852,0.0,TRUST
367,magical,情绪与感知词汇,magical (情绪与感知词汇),172,4.965,0.0,JOY
368,sadly,情绪与感知词汇,sadly (情绪与感知词汇),33,4.394,-1.8,SADNESS
369,mail,情绪与感知词汇,mail (情绪与感知词汇),43,4.791,0.0,ANTICIPATION
370,destination,情绪与感知词汇,destination (情绪与感知词汇),35,4.771,0.0,JOY
371,shout,情绪与感知词汇,shout (情绪与感知词汇),36,4.972,0.0,SURPRISE
372,hooked,情绪与感知词汇,hooked (情绪与感知词汇),16,5.0,0.0,CATE
373,immediately,情绪与感知词汇,immediately (情绪与感知词汇),177,4.712,0.0,ANTICIPATION
374,emergency,情绪与感知词汇,emergency (情绪与感知词汇),20,4.8,-1.6,SADNESS
375,silk,情绪与感知词汇,silk (情绪与感知词汇),30,5.0,0.0,CATE
376,loving,情绪与感知词汇,loving (情绪与感知词汇),17,4.941,2.9,JOY
377,wound,情绪与感知词汇,wound (情绪与感知词汇),20,4.55,0.0,SADNESS
378,center,情绪与感知词汇,center (情绪与感知词汇),75,4.907,0.0,TRUST
379,continue,情绪与感知词汇,continue (情绪与感知词汇),38,4.895,0.0,TRUST
380,gracious,亲切体贴的,gracious (亲切体贴的),61,4.967,2.6,CATE
381,fully,情绪与感知词汇,fully (情绪与感知词汇),140,4.786,0.0,TRUST
382,balance,姿态平衡/飞行平稳,balance (姿态平衡/飞行平稳),72,4.569,0.0,CATE
383,weight,情绪与感知词汇,weight (情绪与感知词汇),203,4.616,0.0,JOY
384,thrill,情绪与感知词汇,thrill (情绪与感知词汇),142,4.958,1.5,JOY
385,courteous,礼貌客气的/有礼的,courteous (礼貌客气的/有礼的),240,4.946,2.3,CATE
386,advantage,低空视角优势,advantage (低空视角优势),79,4.949,1.0,CATE
387,kick,情绪与感知词汇,kick (情绪与感知词汇),19,4.947,0.0,ANGER
388,happily,情绪与感知词汇,happily (情绪与感知词汇),43,5.0,2.6,JOY
389,fire,情绪与感知词汇,fire (情绪与感知词汇),32,4.781,-1.4,FEAR
390,cap,情绪与感知词汇,cap (情绪与感知词汇),19,4.947,0.0,TRUST
391,gentleman,情绪与感知词汇,gentleman (情绪与感知词汇),43,4.674,0.0,TRUST
392,complaint,情绪与感知词汇,complaint (情绪与感知词汇),45,4.089,-1.2,ANGER
393,skillful,情绪与感知词汇,skillful (情绪与感知词汇),32,4.938,0.0,TRUST
394,energetic,情绪与感知词汇,energetic (情绪与感知词汇),17,5.0,1.9,CATE
395,educational,情绪与感知词汇,educational (情绪与感知词汇),92,4.967,0.0,TRUST
396,brother,情绪与感知词汇,brother (情绪与感知词汇),58,4.897,0.0,TRUST
397,holiday,情绪与感知词汇,holiday (情绪与感知词汇),117,4.786,1.7,JOY
398,forced,情绪与感知词汇,forced (情绪与感知词汇),22,4.409,-2.0,FEAR
399,encourage,情绪与感知词汇,encourage (情绪与感知词汇),35,4.971,2.3,JOY
400,forgotten,情绪与感知词汇,forgotten (情绪与感知词汇),40,4.825,-0.9,SADNESS
401,usual,情绪与感知词汇,usual (情绪与感知词汇),51,4.804,0.0,TRUST
402,credit,情绪与感知词汇,credit (情绪与感知词汇),59,4.271,1.6,TRUST
403,patience,情绪与感知词汇,patience (情绪与感知词汇),24,5.0,0.0,TRUST
404,entertaining,情绪与感知词汇,entertaining (情绪与感知词汇),211,4.981,1.9,JOY
405,remarkable,情绪与感知词汇,remarkable (情绪与感知词汇),59,4.983,2.6,JOY
406,educated,情绪与感知词汇,educated (情绪与感知词汇),29,5.0,0.0,CATE
407,thoughtful,情绪与感知词汇,thoughtful (情绪与感知词汇),57,4.965,1.6,TRUST
408,graciously,情绪与感知词汇,graciously (情绪与感知词汇),22,4.955,2.3,CATE
409,question,互动解答/解答疑问,question (互动解答/解答疑问),110,4.927,0.0,CATE
410,refused,遭拒/退款被拒的,refused (遭拒/退款被拒的),17,3.118,-1.2,SADNESS
411,shining,情绪与感知词汇,shining (情绪与感知词汇),23,4.565,0.0,JOY
412,shot,情绪与感知词汇,shot (情绪与感知词汇),87,4.805,0.0,SADNESS
413,fairly,情绪与感知词汇,fairly (情绪与感知词汇),68,4.588,0.0,TRUST
414,fee,情绪与感知词汇,fee (情绪与感知词汇),49,4.694,0.0,ANGER
415,inaccessible,陆路不可达的/观光独特性,inaccessible (陆路不可达的/观光独特性),86,4.965,0.0,CATE
416,approaching,情绪与感知词汇,approaching (情绪与感知词汇),17,4.647,0.0,ANTICIPATION
417,lie,情绪与感知词汇,lie (情绪与感知词汇),19,4.526,0.0,SADNESS
418,boring,枯燥乏味无聊的,boring (枯燥乏味无聊的),28,3.643,-1.3,CATE
419,peace,情绪与感知词汇,peace (情绪与感知词汇),27,5.0,2.5,JOY
420,accessible,便捷易达的,accessible (便捷易达的),105,4.876,0.0,CATE
421,overwhelming,情绪与感知词汇,overwhelming (情绪与感知词汇),34,4.853,0.0,CATE
422,epic,史诗级的/震撼的,epic (史诗级的/震撼的),105,4.971,0.0,CATE
423,extraordinary,非凡卓越的,extraordinary (非凡卓越的),75,4.973,0.0,CATE
424,school,情绪与感知词汇,school (情绪与感知词汇),38,4.895,0.0,TRUST
425,providing,情绪与感知词汇,providing (情绪与感知词汇),164,4.854,0.0,JOY
426,dirt,情绪与感知词汇,dirt (情绪与感知词汇),15,4.8,-1.4,DISGUST
427,white,情绪与感知词汇,white (情绪与感知词汇),85,4.694,0.0,JOY
428,intended,情绪与感知词汇,intended (情绪与感知词汇),32,4.875,0.0,ANTICIPATION
429,military,情绪与感知词汇,military (情绪与感知词汇),41,4.902,0.0,FEAR
430,cooperative,情绪与感知词汇,cooperative (情绪与感知词汇),27,4.852,0.0,TRUST
431,cute,情绪与感知词汇,cute (情绪与感知词汇),30,4.8,2.0,CATE
432,extensive,情绪与感知词汇,extensive (情绪与感知词汇),39,4.897,0.0,CATE
433,instructions,情绪与感知词汇,instructions (情绪与感知词汇),103,4.709,0.0,TRUST
434,engaged,情绪与感知词汇,engaged (情绪与感知词汇),60,4.8,1.7,JOY
435,prepared,情绪与感知词汇,prepared (情绪与感知词汇),142,4.775,0.9,TRUST
436,flexibility,情绪与感知词汇,flexibility (情绪与感知词汇),43,4.86,1.4,CATE
437,confidence,情绪与感知词汇,confidence (情绪与感知词汇),110,4.955,2.3,JOY
438,inspired,情绪与感知词汇,inspired (情绪与感知词汇),20,5.0,2.2,JOY
439,glory,情绪与感知词汇,glory (情绪与感知词汇),79,4.987,2.5,JOY
440,haze,情绪与感知词汇,haze (情绪与感知词汇),15,4.667,0.0,FEAR
441,elevation,情绪与感知词汇,elevation (情绪与感知词汇),22,4.727,0.0,JOY
442,blessed,情绪与感知词汇,blessed (情绪与感知词汇),134,4.97,2.9,JOY
443,break,情绪与感知词汇,break (情绪与感知词汇),73,4.795,0.0,SURPRISE
444,perfection,情绪与感知词汇,perfection (情绪与感知词汇),20,4.95,2.7,JOY
445,explain,情绪与感知词汇,explain (情绪与感知词汇),116,4.664,0.0,TRUST
446,expecting,情绪与感知词汇,expecting (情绪与感知词汇),70,4.514,0.0,ANTICIPATION
447,pride,情绪与感知词汇,pride (情绪与感知词汇),76,4.908,1.4,JOY
448,honeymoon,情绪与感知词汇,honeymoon (情绪与感知词汇),181,5.0,0.0,JOY
449,capture,捕捉照片/定格瞬间,capture (捕捉照片/定格瞬间),81,4.84,0.0,CATE
450,bang,情绪与感知词汇,bang (情绪与感知词汇),32,4.844,0.0,SADNESS
451,constantly,情绪与感知词汇,constantly (情绪与感知词汇),57,4.86,0.0,TRUST
452,amazingly,情绪与感知词汇,amazingly (情绪与感知词汇),65,4.969,0.0,JOY
453,general,情绪与感知词汇,general (情绪与感知词汇),83,4.675,0.0,TRUST
454,exquisite,精美绝伦的,exquisite (精美绝伦的),22,5.0,0.0,JOY
455,accomplished,情绪与感知词汇,accomplished (情绪与感知词汇),20,4.95,1.9,JOY
456,marvel,情绪与感知词汇,marvel (情绪与感知词汇),20,4.95,1.8,SURPRISE
457,mistake,情绪与感知词汇,mistake (情绪与感知词汇),28,4.143,-1.4,SADNESS
458,gorge,情绪与感知词汇,gorge (情绪与感知词汇),157,4.987,0.0,DISGUST
459,expedition,情绪与感知词汇,expedition (情绪与感知词汇),27,4.852,0.0,ANTICIPATION
460,lush,情绪与感知词汇,lush (情绪与感知词汇),56,4.982,0.0,SADNESS
461,system,情绪与感知词汇,system (情绪与感知词汇),56,4.518,0.0,TRUST
462,dangerous,情绪与感知词汇,dangerous (情绪与感知词汇),25,4.12,-2.1,FEAR
463,fellow,情绪与感知词汇,fellow (情绪与感知词汇),40,4.725,0.0,TRUST
464,heavenly,情绪与感知词汇,heavenly (情绪与感知词汇),18,5.0,3.0,JOY
465,angel,情绪与感知词汇,angel (情绪与感知词汇),61,4.82,0.0,JOY
466,prepare,情绪与感知词汇,prepare (情绪与感知词汇),40,4.875,0.0,ANTICIPATION
467,wealth,情绪与感知词汇,wealth (情绪与感知词汇),92,4.957,2.2,JOY
468,attempt,情绪与感知词汇,attempt (情绪与感知词汇),38,4.421,0.0,ANTICIPATION
469,thrilling,情绪与感知词汇,thrilling (情绪与感知词汇),145,4.959,2.1,JOY
470,ultimately,情绪与感知词汇,ultimately (情绪与感知词汇),28,4.536,0.0,ANTICIPATION
471,trust,信任依赖,trust (信任依赖),73,4.767,2.3,TRUST
472,uncertain,情绪与感知词汇,uncertain (情绪与感知词汇),16,5.0,-1.2,DISGUST
473,passion,情绪与感知词汇,passion (情绪与感知词汇),60,5.0,2.0,JOY
474,promise,情绪与感知词汇,promise (情绪与感知词汇),26,4.731,1.3,JOY
475,budget,情绪与感知词汇,budget (情绪与感知词汇),73,4.74,0.0,TRUST
476,create,情绪与感知词汇,create (情绪与感知词汇),24,4.917,1.1,JOY
477,upset,情绪与感知词汇,upset (情绪与感知词汇),23,3.478,-1.6,SADNESS
478,witness,情绪与感知词汇,witness (情绪与感知词汇),19,5.0,0.0,TRUST
479,crazy,情绪与感知词汇,crazy (情绪与感知词汇),50,4.76,-1.4,SADNESS
480,inform,情绪与感知词汇,inform (情绪与感知词汇),27,3.593,0.0,TRUST
481,responsive,情绪与感知词汇,responsive (情绪与感知词汇),40,4.875,1.5,TRUST
482,offering,情绪与感知词汇,offering (情绪与感知词汇),78,4.718,0.0,TRUST
483,adventurous,情绪与感知词汇,adventurous (情绪与感知词汇),39,4.846,1.4,CATE
484,generous,情绪与感知词汇,generous (情绪与感知词汇),34,4.912,2.3,JOY
485,excitement,情绪与感知词汇,excitement (情绪与感知词汇),60,4.983,2.2,JOY
486,steady,情绪与感知词汇,steady (情绪与感知词汇),47,4.936,0.0,TRUST
487,jump,情绪与感知词汇,jump (情绪与感知词汇),28,4.964,0.0,JOY
488,pop,情绪与感知词汇,pop (情绪与感知词汇),31,4.774,0.0,SURPRISE
489,superior,情绪与感知词汇,superior (情绪与感知词汇),41,4.902,2.5,CATE
490,leery,情绪与感知词汇,leery (情绪与感知词汇),16,4.938,0.0,SURPRISE
491,warned,情绪与感知词汇,warned (情绪与感知词汇),46,4.761,-1.1,ANTICIPATION
492,questionable,情绪与感知词汇,questionable (情绪与感知词汇),19,4.842,-1.2,DISGUST
493,contact,预订沟通/联系客服,contact (预订沟通/联系客服),108,4.602,0.0,CATE
494,taught,情绪与感知词汇,taught (情绪与感知词汇),35,5.0,0.0,TRUST
495,lose,情绪与感知词汇,lose (情绪与感知词汇),18,4.611,-1.7,SADNESS
496,disappointment,情绪与感知词汇,disappointment (情绪与感知词汇),51,4.0,-2.3,SADNESS
497,cash,情绪与感知词汇,cash (情绪与感知词汇),24,4.458,0.0,JOY
498,guess,情绪与感知词汇,guess (情绪与感知词汇),82,4.354,0.0,SURPRISE
499,ruin,情绪与感知词汇,ruin (情绪与感知词汇),25,4.32,-2.8,SADNESS
500,hanging,情绪与感知词汇,hanging (情绪与感知词汇),30,4.667,0.0,SADNESS
501,challenge,情绪与感知词汇,challenge (情绪与感知词汇),18,4.5,0.3,FEAR
502,dependent,情绪与感知词汇,dependent (情绪与感知词汇),28,4.5,0.0,TRUST
503,bank,情绪与感知词汇,bank (情绪与感知词汇),26,4.231,0.0,TRUST
504,insane,情绪与感知词汇,insane (情绪与感知词汇),18,4.667,-1.7,FEAR
505,track,情绪与感知词汇,track (情绪与感知词汇),33,4.636,0.0,ANTICIPATION
506,immense,情绪与感知词汇,immense (情绪与感知词汇),21,5.0,0.0,CATE
507,concerned,情绪与感知词汇,concerned (情绪与感知词汇),151,4.815,0.0,SADNESS
508,tired,情绪与感知词汇,tired (情绪与感知词汇),20,4.5,-1.9,CATE
509,shopping,情绪与感知词汇,shopping (情绪与感知词汇),48,4.917,0.0,JOY
510,spur,情绪与感知词汇,spur (情绪与感知词汇),18,4.944,0.0,FEAR
511,boy,情绪与感知词汇,boy (情绪与感知词汇),81,4.951,0.0,DISGUST
512,manage,情绪与感知词汇,manage (情绪与感知词汇),22,4.364,0.0,TRUST
513,celebration,情绪与感知词汇,celebration (情绪与感知词汇),30,4.833,0.0,JOY
514,entertained,情绪与感知词汇,entertained (情绪与感知词汇),60,4.95,1.7,JOY
515,child,情绪与感知词汇,child (情绪与感知词汇),48,4.833,0.0,JOY
516,force,情绪与感知词汇,force (情绪与感知词汇),21,5.0,0.0,FEAR
517,hurt,情绪与感知词汇,hurt (情绪与感知词汇),15,4.933,-2.4,SADNESS
518,splendor,情绪与感知词汇,splendor (情绪与感知词汇),31,4.968,3.0,JOY
519,strip,情绪与感知词汇,strip (情绪与感知词汇),67,4.701,0.0,SADNESS
520,lava,情绪与感知词汇,lava (情绪与感知词汇),37,4.919,0.0,FEAR
521,aloha,情绪与感知词汇,aloha (情绪与感知词汇),126,4.952,0.0,JOY
522,unexpected,情绪与感知词汇,unexpected (情绪与感知词汇),50,4.9,0.0,JOY
523,praise,情绪与感知词汇,praise (情绪与感知词汇),15,4.933,2.6,JOY
524,enthusiasm,情绪与感知词汇,enthusiasm (情绪与感知词汇),52,4.923,1.9,JOY
525,splendid,情绪与感知词汇,splendid (情绪与感知词汇),16,4.938,2.8,JOY
526,volcano,情绪与感知词汇,volcano (情绪与感知词汇),106,4.934,0.0,SURPRISE
527,refreshing,令人耳目一新的,refreshing (令人耳目一新的),21,4.905,0.0,CATE
528,valuable,情绪与感知词汇,valuable (情绪与感知词汇),18,4.556,2.1,CATE
529,accurate,情绪与感知词汇,accurate (情绪与感知词汇),29,4.517,0.0,TRUST
530,instructor,情绪与感知词汇,instructor (情绪与感知词汇),122,4.934,0.0,TRUST
531,grandchildren,情绪与感知词汇,grandchildren (情绪与感知词汇),15,5.0,0.0,JOY
532,lesson,情绪与感知词汇,lesson (情绪与感知词汇),77,4.896,0.0,TRUST
533,celebrating,情绪与感知词汇,celebrating (情绪与感知词汇),31,4.871,2.7,JOY
534,celebrated,情绪与感知词汇,celebrated (情绪与感知词汇),25,5.0,2.7,JOY
535,stellar,顶尖出色的,stellar (顶尖出色的),29,4.793,0.0,CATE
536,glare,情绪与感知词汇,glare (情绪与感知词汇),40,4.8,0.0,FEAR
537,cherry,情绪与感知词汇,cherry (情绪与感知词汇),21,4.762,0.0,CATE
538,instruction,情绪与感知词汇,instruction (情绪与感知词汇),50,4.86,0.0,TRUST
539,count,情绪与感知词汇,count (情绪与感知词汇),23,4.696,0.0,TRUST
540,tree,情绪与感知词汇,tree (情绪与感知词汇),28,4.714,0.0,JOY
541,overwhelmed,情绪与感知词汇,overwhelmed (情绪与感知词汇),17,5.0,0.2,SADNESS
542,whim,情绪与感知词汇,whim (情绪与感知词汇),21,5.0,0.0,JOY
543,die,情绪与感知词汇,die (情绪与感知词汇),29,4.931,-2.9,SADNESS
544,annoying,情绪与感知词汇,annoying (情绪与感知词汇),16,4.125,-1.7,ANGER
545,welcomed,情绪与感知词汇,welcomed (情绪与感知词汇),92,4.989,1.4,JOY
546,greeting,情绪与感知词汇,greeting (情绪与感知词汇),34,5.0,1.6,SURPRISE
547,worthy,情绪与感知词汇,worthy (情绪与感知词汇),20,4.75,1.9,TRUST
548,versus,情绪与感知词汇,versus (情绪与感知词汇),22,4.909,0.0,ANGER
549,spirit,情绪氛围/精神感悟,spirit (情绪氛围/精神感悟),80,4.862,0.7,CATE
550,cliff,情绪与感知词汇,cliff (情绪与感知词汇),40,4.95,0.0,FEAR
551,account,情绪与感知词汇,account (情绪与感知词汇),18,4.389,0.0,TRUST
552,genuine,情绪与感知词汇,genuine (情绪与感知词汇),53,4.943,0.0,TRUST
553,secret,情绪与感知词汇,secret (情绪与感知词汇),19,5.0,0.0,TRUST
554,adorable,情绪与感知词汇,adorable (情绪与感知词汇),15,5.0,2.2,JOY
555,marvelous,情绪与感知词汇,marvelous (情绪与感知词汇),43,4.953,2.9,JOY
556,amusing,情绪与感知词汇,amusing (情绪与感知词汇),20,4.95,1.6,JOY
557,success,情绪与感知词汇,success (情绪与感知词汇),18,4.778,2.7,JOY
558,secluded,情绪与感知词汇,secluded (情绪与感知词汇),20,4.85,0.0,SADNESS
559,decent,情绪与感知词汇,decent (情绪与感知词汇),42,4.31,0.0,CATE
560,shortly,情绪与感知词汇,shortly (情绪与感知词汇),34,4.471,0.0,ANTICIPATION
561,assure,情绪与感知词汇,assure (情绪与感知词汇),15,4.4,1.4,TRUST
562,wonderfully,情绪与感知词汇,wonderfully (情绪与感知词汇),40,4.975,2.9,JOY
563,coach,情绪与感知词汇,coach (情绪与感知词汇),36,4.75,0.0,TRUST
564,celebrity,情绪与感知词汇,celebrity (情绪与感知词汇),27,4.519,0.0,JOY
565,visitor,情绪与感知词汇,visitor (情绪与感知词汇),52,4.865,0.0,JOY
566,art,情绪与感知词汇,art (情绪与感知词汇),17,5.0,0.0,JOY
567,effective,情绪与感知词汇,effective (情绪与感知词汇),19,5.0,2.1,TRUST
568,goodness,情绪与感知词汇,goodness (情绪与感知词汇),27,4.963,2.0,JOY
569,hilarious,情绪与感知词汇,hilarious (情绪与感知词汇),15,5.0,1.7,JOY
570,missing,情绪与感知词汇,missing (情绪与感知词汇),42,4.738,-1.2,SADNESS
571,giant,情绪与感知词汇,giant (情绪与感知词汇),21,5.0,0.0,FEAR
572,soak,情绪与感知词汇,soak (情绪与感知词汇),23,4.957,0.0,CATE
573,leisurely,悠闲从容的,leisurely (悠闲从容的),18,4.944,0.0,CATE
574,dark,情绪与感知词汇,dark (情绪与感知词汇),43,4.488,0.0,SADNESS
575,difficulty,情绪与感知词汇,difficulty (情绪与感知词汇),16,4.562,-1.4,SADNESS
576,danger,情绪与感知词汇,danger (情绪与感知词汇),15,4.667,-2.4,SADNESS
577,forecast,情绪与感知词汇,forecast (情绪与感知词汇),40,4.725,0.0,TRUST
578,cove,情绪与感知词汇,cove (情绪与感知词汇),51,4.882,0.0,JOY
579,harry,情绪与感知词汇,harry (情绪与感知词汇),302,4.94,0.0,SADNESS
580,ruined,毁掉行程的,ruined (毁掉行程的),18,2.944,-2.1,SADNESS
581,broken,情绪与感知词汇,broken (情绪与感知词汇),15,4.467,-2.1,SADNESS
582,veteran,情绪与感知词汇,veteran (情绪与感知词汇),17,4.882,0.0,TRUST
583,grab,情绪与感知词汇,grab (情绪与感知词汇),23,4.826,0.0,ANGER
584,crash,情绪与感知词汇,crash (情绪与感知词汇),23,4.478,-1.7,SADNESS
585,impression,情绪与感知词汇,impression (情绪与感知词汇),36,4.5,0.9,CATE
586,witty,情绪与感知词汇,witty (情绪与感知词汇),18,4.944,0.0,JOY
587,smell,情绪与感知词汇,smell (情绪与感知词汇),16,4.062,0.0,DISGUST
588,discomfort,情绪与感知词汇,discomfort (情绪与感知词汇),17,4.412,-1.8,SADNESS
589,smith,情绪与感知词汇,smith (情绪与感知词汇),24,5.0,0.0,TRUST
590,balanced,情绪与感知词汇,balanced (情绪与感知词汇),15,4.8,0.0,CATE
591,convinced,情绪与感知词汇,convinced (情绪与感知词汇),29,4.828,1.7,TRUST
592,store,情绪与感知词汇,store (情绪与感知词汇),79,4.899,0.0,ANTICIPATION
593,humorous,情绪与感知词汇,humorous (情绪与感知词汇),37,4.946,1.6,JOY
594,shame,情绪与感知词汇,shame (情绪与感知词汇),24,4.167,-2.1,SADNESS
595,silly,情绪与感知词汇,silly (情绪与感知词汇),15,4.933,0.1,JOY
596,tomorrow,情绪与感知词汇,tomorrow (情绪与感知词汇),25,4.4,0.0,ANTICIPATION
597,towering,情绪与感知词汇,towering (情绪与感知词汇),21,4.952,0.0,ANTICIPATION
598,cramped,客舱狭窄拥挤的,cramped (客舱狭窄拥挤的),26,4.538,0.0,CATE
599,spoil,情绪与感知词汇,spoil (情绪与感知词汇),22,4.773,0.0,DISGUST
600,belt,情绪与感知词汇,belt (情绪与感知词汇),18,4.222,0.0,FEAR
601,anxious,焦虑不安的,anxious (焦虑不安的),33,4.636,-1.0,ANTICIPATION
602,management,情绪与感知词汇,management (情绪与感知词汇),16,3.812,0.0,TRUST
603,reluctant,情绪与感知词汇,reluctant (情绪与感知词汇),17,4.765,-1.0,FEAR
604,bargain,情绪与感知词汇,bargain (情绪与感知词汇),25,5.0,0.8,TRUST
605,stomach,情绪与感知词汇,stomach (情绪与感知词汇),57,4.754,0.0,DISGUST
606,granted,情绪与感知词汇,granted (情绪与感知词汇),20,4.8,1.0,CATE
607,unpredictable,情绪与感知词汇,unpredictable (情绪与感知词汇),34,4.824,0.0,SURPRISE
608,confirmation,情绪与感知词汇,confirmation (情绪与感知词汇),44,4.0,0.0,TRUST
609,result,情绪与感知词汇,result (情绪与感知词汇),22,4.409,0.0,ANTICIPATION
610,privileged,情绪与感知词汇,privileged (情绪与感知词汇),15,4.667,1.9,JOY
611,bother,情绪与感知词汇,bother (情绪与感知词汇),35,4.514,-1.4,CATE
612,suffer,情绪与感知词汇,suffer (情绪与感知词汇),17,4.941,-2.5,CATE
613,tough,情绪与感知词汇,tough (情绪与感知词汇),22,4.5,-0.5,SADNESS
614,comprehensive,情绪与感知词汇,comprehensive (情绪与感知词汇),25,4.96,1.0,CATE
615,shoot,情绪与感知词汇,shoot (情绪与感知词汇),23,4.87,-1.4,FEAR
616,checklist,情绪与感知词汇,checklist (情绪与感知词汇),31,4.968,0.0,TRUST
617,sudden,情绪与感知词汇,sudden (情绪与感知词汇),15,4.933,0.0,SURPRISE
618,fortune,情绪与感知词汇,fortune (情绪与感知词汇),19,4.947,0.0,JOY
619,weigh,情绪与感知词汇,weigh (情绪与感知词汇),56,4.857,0.0,TRUST
620,suddenly,情绪与感知词汇,suddenly (情绪与感知词汇),20,4.95,0.0,SURPRISE
621,eager,情绪与感知词汇,eager (情绪与感知词汇),26,4.769,1.5,JOY
622,comprehend,情绪与感知词汇,comprehend (情绪与感知词汇),16,5.0,0.0,CATE
623,greater,情绪与感知词汇,greater (情绪与感知词汇),39,4.821,1.5,CATE
624,cheerful,情绪与感知词汇,cheerful (情绪与感知词汇),20,5.0,2.5,JOY
